Symbol,Company Name,Returns %,Current Value,Period
RATNAMANI,Ratnamani Metals & Tubes Ltd.,0.7236336231795351,100723.63362317954,5d
INDUSTOWER,Indus Towers Ltd.,0.6683345772490605,100668.33457724906,5d
BRITANNIA,Britannia Industries Ltd.,0.2784654288725198,100278.46542887251,5d
KPIL,Kalpataru Projects International Ltd.,-0.05315950465799266,99946.84049534201,5d
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-0.24585893710489648,99754.1410628951,5d
ERIS,Eris Lifesciences Ltd.,-1.1348104087239015,98865.18959127611,5d
BHARTIARTL,Bharti Airtel Ltd.,-1.2300744582407477,98769.92554175926,5d
JUBLINGREA,Jubilant Ingrevia Ltd.,-1.3835898524113082,98616.41014758869,5d
ABBOTINDIA,Abbott India Ltd.,-1.552191347782251,98447.80865221775,5d
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-2.240755940106055,97759.24405989396,5d
SAREGAMA,Saregama India Ltd,-2.2588973401704413,97741.10265982956,5d
CREDITACC,CreditAccess Grameen Ltd.,-2.3127625513904104,97687.2374486096,5d
MTARTECH,MTAR Technologies Ltd.,-2.8963191598543707,97103.68084014562,5d
CENTURYTEX,Century Textile & Industries Ltd.,-2.984841295359,97015.15870464101,5d
AMBER,Amber Enterprises India Ltd.,-3.363320883694648,96636.67911630536,5d
BDL,Bharat Dynamics Ltd.,-3.4078019228452763,96592.19807715472,5d
ZEEL,Zee Entertainment Enterprises Ltd.,-5.589096726174373,94410.90327382564,5d
LTF,L&T Finance Ltd.,-5.873116523010124,94126.88347698987,5d
MASTEK,Mastek Ltd.,-5.901520832405841,94098.47916759417,5d
RAYMOND,Raymond Ltd.,-9.748508044987055,90251.49195501296,5d
INDUSTOWER,Indus Towers Ltd.,3.662281841699995,103662.2818417,7d
BRITANNIA,Britannia Industries Ltd.,0.43497913934199905,100434.979139342,7d
ERIS,Eris Lifesciences Ltd.,-0.0492392529409965,99950.76074705902,7d
BHARTIARTL,Bharti Airtel Ltd.,-0.07500685891152403,99924.99314108846,7d
CREDITACC,CreditAccess Grameen Ltd.,-0.8334656446311515,99166.53435536886,7d
ABBOTINDIA,Abbott India Ltd.,-0.8409264405072905,99159.07355949271,7d
KPIL,Kalpataru Projects International Ltd.,-0.8438782085537151,99156.12179144628,7d
CENTURYTEX,Century Textile & Industries Ltd.,-1.1809759374295694,98819.02406257043,7d
SAREGAMA,Saregama India Ltd,-1.7242955805950404,98275.70441940497,7d
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-1.762325314908601,98237.6746850914,7d
RATNAMANI,Ratnamani Metals & Tubes Ltd.,-3.0241106365476185,96975.88936345238,7d
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-3.6865026352781034,96313.49736472189,7d
MTARTECH,MTAR Technologies Ltd.,-4.553023688024484,95446.97631197551,7d
JUBLINGREA,Jubilant Ingrevia Ltd.,-5.2815400554188185,94718.45994458118,7d
LTF,L&T Finance Ltd.,-5.760786560545731,94239.21343945427,7d
MASTEK,Mastek Ltd.,-6.350131342847018,93649.86865715297,7d
BDL,Bharat Dynamics Ltd.,-6.751359183830543,93248.64081616946,7d
AMBER,Amber Enterprises India Ltd.,-6.826316980079464,93173.68301992053,7d
ZEEL,Zee Entertainment Enterprises Ltd.,-13.547220620331146,86452.77937966886,7d
RAYMOND,Raymond Ltd.,-14.259809096808745,85740.19090319125,7d
INDUSTOWER,Indus Towers Ltd.,9.33246921581335,109332.46921581335,15d
BRITANNIA,Britannia Industries Ltd.,5.733993663843485,105733.99366384349,15d
JUBLINGREA,Jubilant Ingrevia Ltd.,4.6691116733594855,104669.1116733595,15d
KPIL,Kalpataru Projects International Ltd.,3.406276254612587,103406.27625461259,15d
BHARTIARTL,Bharti Airtel Ltd.,2.107793574567255,102107.79357456726,15d
ABBOTINDIA,Abbott India Ltd.,1.5292327524110403,101529.23275241103,15d
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-1.1512005191434134,98848.79948085659,15d
CENTURYTEX,Century Textile & Industries Ltd.,-1.3281208879441817,98671.87911205582,15d
ERIS,Eris Lifesciences Ltd.,-1.4994188510250577,98500.58114897495,15d
SAREGAMA,Saregama India Ltd,-1.9333972630955134,98066.60273690449,15d
RATNAMANI,Ratnamani Metals & Tubes Ltd.,-2.748019965086216,97251.9800349138,15d
CREDITACC,CreditAccess Grameen Ltd.,-3.2968254265474126,96703.17457345259,15d
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-3.961814362505167,96038.18563749483,15d
MTARTECH,MTAR Technologies Ltd.,-4.333309164867516,95666.69083513248,15d
AMBER,Amber Enterprises India Ltd.,-4.860668858514857,95139.33114148515,15d
LTF,L&T Finance Ltd.,-6.586729907202636,93413.27009279736,15d
MASTEK,Mastek Ltd.,-7.586698125122596,92413.3018748774,15d
ZEEL,Zee Entertainment Enterprises Ltd.,-10.758605994606812,89241.39400539319,15d
BDL,Bharat Dynamics Ltd.,-11.974422170291454,88025.57782970855,15d
RAYMOND,Raymond Ltd.,-38.09545730192511,61904.54269807489,15d
INDUSTOWER,Indus Towers Ltd.,24.098864918524757,124098.86491852475,1m
KPIL,Kalpataru Projects International Ltd.,12.921321893168214,112921.32189316822,1m
BRITANNIA,Britannia Industries Ltd.,11.138692797060072,111138.69279706008,1m
JUBLINGREA,Jubilant Ingrevia Ltd.,5.744177309944128,105744.17730994413,1m
ABBOTINDIA,Abbott India Ltd.,5.642887810972182,105642.88781097218,1m
AMBER,Amber Enterprises India Ltd.,4.156837524110143,104156.83752411013,1m
BHARTIARTL,Bharti Airtel Ltd.,3.211718130561752,103211.71813056174,1m
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,1.860237201390586,101860.23720139058,1m
MTARTECH,MTAR Technologies Ltd.,0.23057832940290082,100230.5783294029,1m
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-1.6487908653251016,98351.20913467491,1m
ERIS,Eris Lifesciences Ltd.,-2.4274120505771526,97572.58794942284,1m
SAREGAMA,Saregama India Ltd,-2.4836722110537472,97516.32778894626,1m
MASTEK,Mastek Ltd.,-2.485784894926896,97514.21510507309,1m
LTF,L&T Finance Ltd.,-3.756024035023787,96243.97596497621,1m
BDL,Bharat Dynamics Ltd.,-3.8151963940759823,96184.80360592403,1m
RATNAMANI,Ratnamani Metals & Tubes Ltd.,-3.900569507728427,96099.43049227157,1m
CENTURYTEX,Century Textile & Industries Ltd.,-5.674006724499717,94325.99327550028,1m
CREDITACC,CreditAccess Grameen Ltd.,-9.984366813453976,90015.63318654602,1m
ZEEL,Zee Entertainment Enterprises Ltd.,-11.030237299251972,88969.76270074803,1m
RAYMOND,Raymond Ltd.,-23.919870856456853,76080.12914354315,1m
INDUSTOWER,Indus Towers Ltd.,21.646952740270685,121646.95274027069,2m
ERIS,Eris Lifesciences Ltd.,15.630875785477786,115630.87578547778,2m
AMBER,Amber Enterprises India Ltd.,14.84657653772169,114846.57653772169,2m
BRITANNIA,Britannia Industries Ltd.,12.348538901778578,112348.53890177858,2m
LTF,L&T Finance Ltd.,11.664902773025187,111664.90277302518,2m
SAREGAMA,Saregama India Ltd,10.807981818707278,110807.98181870728,2m
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,10.195900834450567,110195.90083445057,2m
JUBLINGREA,Jubilant Ingrevia Ltd.,9.320622466194827,109320.62246619484,2m
ABBOTINDIA,Abbott India Ltd.,8.233926963806425,108233.92696380643,2m
KPIL,Kalpataru Projects International Ltd.,7.93111060497223,107931.11060497223,2m
RATNAMANI,Ratnamani Metals & Tubes Ltd.,6.8951459019672825,106895.14590196728,2m
PRINCEPIPE,Prince Pipes and Fittings Ltd.,6.881782557485698,106881.78255748568,2m
MASTEK,Mastek Ltd.,6.840153389308597,106840.1533893086,2m
BHARTIARTL,Bharti Airtel Ltd.,5.538352496511523,105538.35249651152,2m
CENTURYTEX,Century Textile & Industries Ltd.,-1.2727066229714101,98727.29337702859,2m
BDL,Bharat Dynamics Ltd.,-1.9237745240656559,98076.22547593433,2m
CREDITACC,CreditAccess Grameen Ltd.,-9.14859118737677,90851.40881262324,2m
RAYMOND,Raymond Ltd.,-10.434614032240912,89565.38596775908,2m
ZEEL,Zee Entertainment Enterprises Ltd.,-11.33530357696618,88664.69642303382,2m
MTARTECH,MTAR Technologies Ltd.,-11.987708934868673,88012.29106513133,2m
BDL,Bharat Dynamics Ltd.,45.984513243983514,145984.5132439835,3m
SAREGAMA,Saregama India Ltd,23.038533614744892,123038.5336147449,3m
BRITANNIA,Britannia Industries Ltd.,21.92815952775062,121928.15952775061,3m
INDUSTOWER,Indus Towers Ltd.,21.070760043182787,121070.7600431828,3m
CENTURYTEX,Century Textile & Industries Ltd.,17.815814391889347,117815.81439188936,3m
RATNAMANI,Ratnamani Metals & Tubes Ltd.,17.388559846331038,117388.55984633105,3m
ERIS,Eris Lifesciences Ltd.,16.647516456203746,116647.51645620374,3m
AMBER,Amber Enterprises India Ltd.,12.952143746022351,112952.14374602235,3m
KPIL,Kalpataru Projects International Ltd.,12.767544720318359,112767.54472031836,3m
ABBOTINDIA,Abbott India Ltd.,11.378570260351013,111378.57026035101,3m
BHARTIARTL,Bharti Airtel Ltd.,9.65279838696197,109652.79838696196,3m
PRINCEPIPE,Prince Pipes and Fittings Ltd.,7.546866819779617,107546.86681977962,3m
LTF,L&T Finance Ltd.,5.606345376616445,105606.34537661643,3m
JUBLINGREA,Jubilant Ingrevia Ltd.,0.09001710127132673,100090.01710127133,3m
MTARTECH,MTAR Technologies Ltd.,-0.7401561987368767,99259.84380126312,3m
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-0.8016032064128256,99198.39679358718,3m
RAYMOND,Raymond Ltd.,-2.9361339724575,97063.86602754249,3m
ZEEL,Zee Entertainment Enterprises Ltd.,-4.02569532044218,95974.30467955781,3m
MASTEK,Mastek Ltd.,-4.789272047505784,95210.72795249421,3m
CREDITACC,CreditAccess Grameen Ltd.,-15.635817282685585,84364.18271731441,3m
INDUSTOWER,Indus Towers Ltd.,87.07030636900984,187070.30636900986,6m
BDL,Bharat Dynamics Ltd.,79.8915135155319,179891.5135155319,6m
KPIL,Kalpataru Projects International Ltd.,77.89504697959887,177895.04697959885,6m
CENTURYTEX,Century Textile & Industries Ltd.,63.33336698345987,163333.36698345988,6m
SAREGAMA,Saregama India Ltd,53.3401248373672,153340.12483736718,6m
BHARTIARTL,Bharti Airtel Ltd.,26.267714683547023,126267.71468354702,6m
JUBLINGREA,Jubilant Ingrevia Ltd.,20.338346217296372,120338.34621729638,6m
BRITANNIA,Britannia Industries Ltd.,14.507287373923509,114507.2873739235,6m
ERIS,Eris Lifesciences Ltd.,14.116256391569271,114116.25639156927,6m
RAYMOND,Raymond Ltd.,13.800634025080136,113800.63402508013,6m
ABBOTINDIA,Abbott India Ltd.,13.119860422003965,113119.86042200397,6m
RATNAMANI,Ratnamani Metals & Tubes Ltd.,10.936962550087937,110936.96255008793,6m
LTF,L&T Finance Ltd.,5.543075181476813,105543.07518147682,6m
AMBER,Amber Enterprises India Ltd.,4.302799000053669,104302.79900005367,6m
PRINCEPIPE,Prince Pipes and Fittings Ltd.,-2.198204315978963,97801.79568402104,6m
MASTEK,Mastek Ltd.,-3.8730198716345283,96126.98012836548,6m
MTARTECH,MTAR Technologies Ltd.,-10.390251312770054,89609.74868722995,6m
ZEEL,Zee Entertainment Enterprises Ltd.,-17.610288463111736,82389.71153688825,6m
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,-19.407360768148592,80592.63923185141,6m
CREDITACC,CreditAccess Grameen Ltd.,-20.375141072363974,79624.85892763601,6m
BDL,Bharat Dynamics Ltd.,155.0613954089449,255061.3954089449,1y
INDUSTOWER,Indus Towers Ltd.,148.89348338484882,248893.4833848488,1y
KPIL,Kalpataru Projects International Ltd.,130.36812690227498,230368.12690227496,1y
CENTURYTEX,Century Textile & Industries Ltd.,127.06664524877031,227066.6452487703,1y
AMBER,Amber Enterprises India Ltd.,90.47555507938739,190475.5550793874,1y
BHARTIARTL,Bharti Airtel Ltd.,65.75254778868552,165752.54778868554,1y
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,56.01831340672727,156018.31340672728,1y
JUBLINGREA,Jubilant Ingrevia Ltd.,38.57307997421955,138573.07997421955,1y
RATNAMANI,Ratnamani Metals & Tubes Ltd.,38.50116884127956,138501.16884127955,1y
ERIS,Eris Lifesciences Ltd.,34.62660556296692,134626.6055629669,1y
LTF,L&T Finance Ltd.,33.752010438361616,133752.0104383616,1y
MASTEK,Mastek Ltd.,24.676848570647458,124676.84857064746,1y
SAREGAMA,Saregama India Ltd,22.71083424849472,122710.83424849472,1y
ABBOTINDIA,Abbott India Ltd.,22.344225560126834,122344.22556012683,1y
BRITANNIA,Britannia Industries Ltd.,18.49403717871326,118494.03717871325,1y
RAYMOND,Raymond Ltd.,11.806706339643918,111806.70633964392,1y
PRINCEPIPE,Prince Pipes and Fittings Ltd.,6.992061554439484,106992.06155443948,1y
CREDITACC,CreditAccess Grameen Ltd.,-7.709393706186271,92290.60629381373,1y
MTARTECH,MTAR Technologies Ltd.,-10.644325228577198,89355.67477142281,1y
ZEEL,Zee Entertainment Enterprises Ltd.,-39.36414578856046,60635.85421143954,1y
BDL,Bharat Dynamics Ltd.,668.6536571201854,768653.6571201853,3y
RAYMOND,Raymond Ltd.,347.2464318832503,447246.4318832503,3y
CENTURYTEX,Century Textile & Industries Ltd.,215.603491451497,315603.49145149696,3y
BHARTIARTL,Bharti Airtel Ltd.,176.893050754374,276893.050754374,3y
RATNAMANI,Ratnamani Metals & Tubes Ltd.,161.42717813437199,261427.17813437196,3y
KPIL,Kalpataru Projects International Ltd.,154.36017656875353,254360.17656875355,3y
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,127.57223716244633,227572.2371624463,3y
LTF,L&T Finance Ltd.,105.48708834925682,205487.08834925684,3y
INDUSTOWER,Indus Towers Ltd.,98.97263466578016,198972.63466578015,3y
CREDITACC,CreditAccess Grameen Ltd.,91.77450237064888,191774.50237064887,3y
BRITANNIA,Britannia Industries Ltd.,74.95981420330774,174959.81420330773,3y
SAREGAMA,Saregama India Ltd,68.71519862748433,168715.19862748432,3y
ABBOTINDIA,Abbott India Ltd.,61.723412622026984,161723.41262202698,3y
AMBER,Amber Enterprises India Ltd.,41.709578520831435,141709.57852083145,3y
ERIS,Eris Lifesciences Ltd.,36.843968108963374,136843.9681089634,3y
MTARTECH,MTAR Technologies Ltd.,31.151137660386585,131151.13766038656,3y
MASTEK,Mastek Ltd.,1.7519042099802804,101751.90420998029,3y
PRINCEPIPE,Prince Pipes and Fittings Ltd.,0.5975110311130221,100597.51103111303,3y
JUBLINGREA,Jubilant Ingrevia Ltd.,-9.144721932737838,90855.27806726216,3y
ZEEL,Zee Entertainment Enterprises Ltd.,-32.97348678895623,67026.51321104377,3y
BDL,Bharat Dynamics Ltd.,1009.7288773866486,1109728.8773866487,5y
SAREGAMA,Saregama India Ltd,973.4491318970456,1073449.1318970455,5y
MASTEK,Mastek Ltd.,630.5486344578322,730548.6344578323,5y
RATNAMANI,Ratnamani Metals & Tubes Ltd.,479.10994436727395,579109.944367274,5y
AMBER,Amber Enterprises India Ltd.,432.34563492208105,532345.634922081,5y
BHARTIARTL,Bharti Airtel Ltd.,345.9723642961522,445972.3642961522,5y
PRINCEPIPE,Prince Pipes and Fittings Ltd.,313.47306294393826,413473.06294393825,5y
ABBOTINDIA,Abbott India Ltd.,242.88031991599019,342880.31991599017,5y
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,237.95949901644752,337959.4990164476,5y
RAYMOND,Raymond Ltd.,201.81219715411115,301812.1971541111,5y
ERIS,Eris Lifesciences Ltd.,164.39117312889599,264391.1731288959,5y
KPIL,Kalpataru Projects International Ltd.,154.36017656875353,254360.17656875355,5y
CENTURYTEX,Century Textile & Industries Ltd.,151.68969553156145,251689.69553156145,5y
BRITANNIA,Britannia Industries Ltd.,141.760223990232,241760.223990232,5y
CREDITACC,CreditAccess Grameen Ltd.,136.87260407495089,236872.60407495088,5y
JUBLINGREA,Jubilant Ingrevia Ltd.,112.56481420763369,212564.8142076337,5y
INDUSTOWER,Indus Towers Ltd.,95.01061453534835,195010.61453534834,5y
LTF,L&T Finance Ltd.,93.10212946999124,193102.12946999123,5y
MTARTECH,MTAR Technologies Ltd.,75.30652677381504,175306.52677381504,5y
ZEEL,Zee Entertainment Enterprises Ltd.,-64.76743230182976,35232.56769817025,5y
